experiment_id,model,method,policy,round,labeled_count,unlabeled_count,train_seconds,query_seconds,test_eval_seconds,modelled_total_seconds,logged_round_seconds,train_share,query_share,eval_share
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,1,1735,6375,9068.291435598767,27903.474709870465,277.35347635942105,37249.11962182865,1050.568969964981,0.24344981915450656,0.7491042739576194,0.007445906887874122
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,2,3303,4807,17263.72715376526,21040.31537607041,277.35347635942105,38581.39600619509,1281.216482877731,0.44746248038803954,0.5453487316190406,0.007188787992919847
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,3,3723,4387,19458.933149702712,19201.969125945398,277.35347635942105,38938.255752007535,1564.8959965705872,0.49973818225536387,0.49313891326412085,0.0071229044805151956
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,4,4104,4006,21450.298588874546,17534.326456189134,277.35347635942105,39261.9785214231,1654.3972930908203,0.5463376884374357,0.44659813683667565,0.007064174725888674
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,5,4382,3728,22903.315890947433,16317.516319201626,277.35347635942105,39498.185686508485,1718.6164257526398,0.5798574160526717,0.41312065441971046,0.007021929527617709
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,6,4612,3498,24105.452507770322,15310.802896514118,277.35347635942105,39693.608880643864,1768.0524125099182,0.6072880039770098,0.38572463749901703,0.006987358523973095
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,7,4762,3348,24889.454649176558,14654.250664326613,277.35347635942105,39821.058789862596,1813.44992351532,0.6250324678838717,0.36800253709118363,0.006964995024944641
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,8,4912,3198,25673.45679058279,13997.698432139108,277.35347635942105,39948.50869908132,1815.6509220600128,0.6426637095259876,0.35039351625311127,0.006942774220900998
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,9,5062,3048,26457.458931989026,13341.146199951603,277.35347635942105,40075.95860830005,1860.6862461566925,0.6601828091146266,0.3328964961349308,0.0069206947504427
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,10,5212,2898,27241.461073395258,12684.593967764098,277.35347635942105,40203.40851751878,1896.4612760543823,0.6775908331634293,0.31551041156713716,0.0068987552694335175
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,11,5362,2748,28025.46321480149,12028.041735576593,277.35347635942105,40330.858426737504,1909.3912510871887,0.6948888347048398,0.2982342108444326,0.006876954450727695
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,12,5512,2598,28809.465356207726,11371.489503389088,277.35347635942105,40458.30833595624,1952.790620803833,0.7120778535024432,0.28106685551365435,0.006855290983902324
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,13,5662,2448,29593.467497613958,10714.937271201583,277.35347635942105,40585.75824517496,1984.362303495407,0.7291589162593057,0.26400732016569944,0.006833763574994788
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,14,5812,2298,30377.46963902019,10058.385039014078,277.35347635942105,40713.20815439369,2025.2980015277865,0.7461330368223983,0.24705459223135667,0.00681237094624511
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,15,5962,2148,31161.471780426426,9401.832806826573,277.35347635942105,40840.65806361242,2036.270123243332,0.7630012163831952,0.23020767178096166,0.0067911118358431445
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,1,1904,6206,11125.674011083156,714.4984856476756,219.320503898453,12059.493000629283,200.44076442718503,0.9225656510188779,0.059247804663959916,0.0181865443171623
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,2,2405,5705,14053.175418411234,656.818920055484,219.320503898453,14929.314842365171,451.4196603298187,0.9413141571997865,0.0439952487432054,0.014690594057008127
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,3,2585,5525,15104.972331223718,636.0957228367325,219.320503898453,15960.388557958904,569.8287355899811,0.9464037968982516,0.039854651440771674,0.013741551660976657
