experiment_id,model,method,policy,target,target_name,kind,n_positive,prevalence,auc,auc_ci_low,auc_ci_high,pr_auc
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9613131120841001,0.937258693199157,0.9808346207960478,0.7025183767827295
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9939984160768203,0.9879296259498643,0.9981346412234379,0.9372866789553899
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9607950422007234,0.9474097526888554,0.9729413426404712,0.8286505221358336
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9953703703703703,0.985163243812533,1.0,0.8290784832451499
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,mel,Melanoma,class_probability,209,0.10971128608923884,0.9460424753994764,0.9303492154090224,0.9591215315073416,0.7583125158384545
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9675960813865863,0.9602056711316791,0.9747979577945071,0.9848972256240831
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.998640175266299,0.9955285758110123,1.0,0.9438775510204083
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9500335147796495,0.9368448689639538,0.961014715201684,0.8640254849055505
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.952077548043989,0.9396456485510313,0.9630662328248443,0.86657814468351
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9545339171267212,0.9240605170827386,0.978147655229258,0.6419417830557737
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9917772113052516,0.9856514891718415,0.9962765788694609,0.9088698851619971
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9625507865849129,0.9486538663297901,0.9748988882347784,0.8132438158261209
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9603258321612752,0.8661653268318398,1.0,0.8903466148364108
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,mel,Melanoma,class_probability,209,0.10971128608923884,0.9327717342240679,0.912845792732727,0.9505234661707255,0.7375341124702283
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9624403198931951,0.954337897777866,0.9698330812045709,0.981485249297712
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9983379919921432,0.9947709916686173,1.0,0.9410132474042248
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9348413756528016,0.9177409102654528,0.9492572173068877,0.8317394904166123
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9378890108352178,0.9212607822256065,0.9523139315758038,0.8393621381670275
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9653742834782241,0.940852070703376,0.9838538140943159,0.6930725424015274
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9963248032470425,0.9926170540462681,0.9988947133458455,0.9532915832986094
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9647365383406573,0.9520095914337973,0.9750944384396802,0.8146655522534929
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.999648382559775,0.9985935302390999,1.0,0.9555555555555555
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,mel,Melanoma,class_probability,209,0.10971128608923884,0.9443187460503747,0.9287554620608005,0.9574335097657958,0.7640045718417778
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9634253187067637,0.9553343793479336,0.9712062420454642,0.9826138232699608
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9919543703256025,0.9772376255445498,1.0,0.8727111343033132
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9499377582663652,0.9377721131799331,0.9603374107591421,0.8520138651709072
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9506135782735837,0.9379442652728898,0.9612517041951909,0.8586465368477071
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9531378894599911,0.9208591209277625,0.9779575057740627,0.6615315178292648
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9957308320546453,0.9926817441590191,0.9980338662854191,0.9396552052652157
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9637165208546432,0.9508290965404448,0.974582683836833,0.8135182739820204
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.998652133145804,0.9958749496951327,1.0,0.8707264957264957
