experiment_id,model,method,policy,corruption,accuracy,melanoma_recall,fn_rate_malignant,risk_auroc,mean_confidence,accuracy_clean,melanoma_recall_clean,risk_auroc_clean,fn_rate_malignant_clean,accuracy_retained,melanoma_recall_retained,risk_auroc_retained,fn_rate_increase
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,blur_1.5,0.7821522309711286,0.2631578947368421,0.5272206303724928,0.8822213301316284,0.9249825302204725,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,0.9197530864197531,0.3819444444444444,0.9473849695071308,0.28366762177650423
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,brightness_0.7,0.85249343832021,0.7081339712918661,0.2349570200573066,0.9286927026170991,0.9240218215695538,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,1.002469135802469,1.0277777777777777,0.9972888635770389,-0.008595988538681959
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,contrast_0.7,0.8472440944881889,0.5980861244019139,0.2836676217765043,0.930206392115556,0.925006928456693,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,0.9962962962962962,0.8680555555555555,0.9989143589378515,0.040114613180515735
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,gaussian_noise_0.01,0.8283464566929134,0.7129186602870813,0.2922636103151863,0.9174302634777293,0.9229208346561678,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,0.9740740740740741,1.034722222222222,0.9851945452963464,0.04871060171919772
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,gaussian_noise_0.02,0.7065616797900263,0.5933014354066986,0.39255014326647564,0.8680640979368154,0.8426773956587926,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,0.8308641975308642,0.861111111111111,0.9321820396605047,0.14899713467048709
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,gaussian_noise_0.03,0.27664041994750654,0.23923444976076555,0.6790830945558739,0.6339173252996074,0.5966196717427822,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,0.3253086419753086,0.3472222222222222,0.6807404507091274,0.43553008595988535
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,gaussian_noise_0.05,0.005774278215223097,0.0,1.0,0.37530844646106026,0.539935516792651,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,0.006790123456790123,0.0,0.40302990753264833,0.7564469914040115
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,gaussian_noise_0.10,0.004724409448818898,0.0,1.0,0.5031470746385192,0.5531542927349082,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,0.005555555555555555,0.0,0.5403110984551861,0.7564469914040115
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,jpeg_q30,0.789501312335958,0.45454545454545453,0.4785100286532951,0.8714634541584108,0.886037755375328,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,0.928395061728395,0.6597222222222222,0.9358324830133757,0.23495702005730656
resnet50_entropy_dual_metric,resnet50,entropy,dual_metric,blur_1.5,0.7937007874015748,0.36363636363636365,0.44412607449856734,0.9191713746952365,0.971819585175853,0.8986876640419947,0.7272727272727273,0.9545432782610617,0.22063037249283668,0.883177570093458,0.5,0.9629436355884629,0.22349570200573066
