model,method,method_key,round,total_labels,labeled_count,accuracy,f1_macro,fn_rate_malignant,unsafe_auto_accepts
efficientnet_b4,VAAL,baseline_vaal,7,2750,3240,0.7968503937007874,0.6508677524230134,0.2607449856733524,858
efficientnet_b4,VAAL,baseline_vaal,8,2907,3397,0.8020997375328084,0.6648726161666983,0.2808022922636103,856
efficientnet_b4,VAAL,baseline_vaal,9,3061,3551,0.8131233595800524,0.6785003247947884,0.2750716332378223,812
efficientnet_b4,VAAL,baseline_vaal,10,3215,3705,0.8146981627296588,0.6910704689134389,0.2378223495702005,786
efficientnet_b4,VAAL,baseline_vaal,11,3370,3860,0.8278215223097113,0.6966923738848745,0.2378223495702005,750
efficientnet_b4,VAAL,baseline_vaal,12,3520,4010,0.8335958005249344,0.7042552019413651,0.2808022922636103,729
efficientnet_b4,VAAL,baseline_vaal,13,3671,4161,0.8362204724409449,0.7148228054630759,0.2550143266475644,728
efficientnet_b4,VAAL,baseline_vaal,14,3825,4315,0.8535433070866142,0.7062958899340555,0.3381088825214899,706
efficientnet_b4,VAAL,baseline_vaal,15,3976,4466,0.8435695538057743,0.7128003481668853,0.2607449856733524,672
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,1,1414,1904,0.2530183727034121,0.159064827415595,0.2349570200573066,1011
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,2,1915,2405,0.6482939632545932,0.4168497267434761,0.2979942693409742,809
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,3,2095,2585,0.7312335958005249,0.5257018884702723,0.3008595988538682,727
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,4,2268,2758,0.7695538057742782,0.5790213959439795,0.2722063037249284,647
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,5,2428,2918,0.8036745406824147,0.6519091290091968,0.2808022922636103,597
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,6,2590,3080,0.8178477690288714,0.6639503376125722,0.2979942693409742,532
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,7,2750,3240,0.8188976377952756,0.6822328927696789,0.2693409742120344,487
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,8,2907,3397,0.84251968503937,0.7416649305162837,0.2464183381088825,444
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,9,3061,3551,0.8451443569553806,0.7409708135106773,0.2607449856733524,400
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,10,3215,3705,0.8388451443569553,0.7433669182268493,0.2607449856733524,363
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,11,3370,3860,0.857742782152231,0.7563285619684265,0.2664756446991404,327
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,12,3520,4010,0.8514435695538057,0.7519484362579469,0.2292263610315186,310
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,13,3671,4161,0.8661417322834646,0.7673253546656633,0.2636103151862464,274
