model,method,method_key,round,total_labels,labeled_count,accuracy,f1_macro,fn_rate_malignant,unsafe_auto_accepts
densenet169,Uncertainty-only,entropy_uncertainty_only,6,2994,3484,0.8661417322834646,0.7583691855719452,0.2607449856733524,582
densenet169,Uncertainty-only,entropy_uncertainty_only,7,3218,3708,0.8666666666666667,0.7814941212199665,0.2492836676217765,509
densenet169,Uncertainty-only,entropy_uncertainty_only,8,3408,3898,0.8792650918635171,0.7689676885886078,0.2378223495702005,462
densenet169,Uncertainty-only,entropy_uncertainty_only,9,3584,4074,0.8850393700787401,0.7851217923995916,0.2206303724928366,431
densenet169,Uncertainty-only,entropy_uncertainty_only,10,3734,4224,0.8834645669291339,0.7961774206677299,0.2550143266475644,378
densenet169,Uncertainty-only,entropy_uncertainty_only,11,3884,4374,0.8808398950131233,0.7823670482226738,0.2607449856733524,352
densenet169,Uncertainty-only,entropy_uncertainty_only,12,4034,4524,0.8871391076115486,0.8186992123156863,0.2120343839541547,320
densenet169,Uncertainty-only,entropy_uncertainty_only,13,4184,4674,0.8934383202099737,0.8056536111360685,0.2034383954154728,271
densenet169,Uncertainty-only,entropy_uncertainty_only,14,4334,4824,0.8892388451443569,0.8012859092404163,0.2320916905444126,240
densenet169,Uncertainty-only,entropy_uncertainty_only,15,4484,4974,0.8876640419947507,0.81923354466989,0.2292263610315186,219
efficientnet_b4,BADGE,baseline_badge,1,1414,1904,0.1742782152230971,0.1346969259366327,0.2750716332378223,1125
efficientnet_b4,BADGE,baseline_badge,2,1915,2405,0.6640419947506562,0.439657447035386,0.2636103151862464,1017
efficientnet_b4,BADGE,baseline_badge,3,2095,2585,0.7433070866141732,0.5443452982749256,0.3381088825214899,963
efficientnet_b4,BADGE,baseline_badge,4,2268,2758,0.7643044619422572,0.6117359511266718,0.2722063037249284,916
efficientnet_b4,BADGE,baseline_badge,5,2428,2918,0.7973753280839895,0.6534548700540406,0.2664756446991404,858
efficientnet_b4,BADGE,baseline_badge,6,2590,3080,0.8167979002624672,0.6985152750521678,0.2578796561604584,810
